country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,all_years
Brazil,4387.2378923999995,4471.7630232,3776.3817827999997,4186.7056572,4938.569262,4968.7284635999995,4533.0073667999995,4090.6724099999997,4713.962576399999,5383.417485599999,45450.44592
Viet Nam,1882.1722787999997,2343.5551523999998,3031.7934239999995,2608.2418296,3452.0380883999997,2902.6908768,3931.4106611999996,3319.0995023999994,4151.5199219999995,3624.3952799999997,31246.917015599996
Colombia,1034.6722584,1023.0318648,948.4275239999998,1279.120524,1448.9644488,1682.0368751999997,1697.2487531999998,1717.6194419999997,1694.2063776,1808.4938783999999,14333.821946399998
Indonesia,726.0695508,518.526624,1085.4667031999998,1224.225486,816.8117099999998,1108.3506588,865.7542739999999,1084.4084856,600.4062107999999,837.8437848,8867.863487999999
India,614.6921484,716.1487608,667.2061967999999,665.7511475999999,678.7143131999999,696.0426264,805.0390391999999,865.3574424,789.2980524,797.3669615999999,7295.6166888
Honduras,442.9963428,522.0981084,728.5828175999999,553.580082,562.4426543999999,665.3543159999999,701.8628232,971.0469251999999,944.9883168,894.8552579999999,6987.807644399999
Peru,504.90207239999995,621.3060084,570.114732,494.1876191999999,359.79398399999997,369.0533879999999,523.8177119999999,521.9658311999999,537.5745407999999,498.94959839999996,5001.665486399999
Uganda,351.46052039999995,415.61496239999997,355.16428199999996,485.7218784,455.29812239999995,475.66881119999994,468.65811959999996,631.4913528,558.6066155999999,598.6866071999999,4796.371271999999
Guatemala,458.73732959999995,489.0288084,496.0394999999999,472.89098999999993,402.51951959999997,391.6727892,395.64110519999997,447.49376759999996,440.0862444,477.9175236,4472.027577599999
Ethiopia,439.68941279999996,353.8415099999999,423.6838716,379.63556399999993,412.3080324,394.84744199999994,396.9638772,499.0818756,474.74287079999993,518.6589012,4293.453357599999
